,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:56:52.069,"2889",,
04/05/17 10:56:57.069,"2894",,
04/05/17 10:57:02.069,"2908",,
04/05/17 10:57:07.069,"2888",,
04/05/17 10:57:12.068,"2913",,
04/05/17 10:57:17.069,"2903",,
04/05/17 10:57:22.069,"2873",,
04/05/17 10:57:27.068,"2898",,
04/05/17 10:57:32.069,"2888",,
04/05/17 10:57:37.069,"2923",,
04/05/17 10:57:42.069,"2918",,
04/05/17 10:57:47.068,"2913",,
04/05/17 10:57:52.069,"2938",,
04/05/17 10:57:57.069,"2938",,
04/05/17 10:58:02.068,"2964",,
04/05/17 10:58:07.069,"2949",,
04/05/17 10:58:12.069,"2959",,
04/05/17 10:58:17.069,"2933",,
04/05/17 10:58:22.068,"2903",,
04/05/17 10:58:27.069,"2949",,
04/05/17 10:58:32.069,"2959",,
04/05/17 10:58:37.068,"2969",,
04/05/17 10:58:42.069,"2969",,
04/05/17 10:58:47.069,"2954",,
04/05/17 10:58:52.069,"2953",,
04/05/17 10:58:57.068,"2978",,
04/05/17 10:59:02.069,"2968",,
04/05/17 10:59:07.069,"2948",,
04/05/17 10:59:12.068,"2993",,
04/05/17 10:59:17.069,"3003",,
04/05/17 10:59:22.069,"2963",,
04/05/17 10:59:27.069,"2993",,
04/05/17 10:59:32.068,"2988",,
04/05/17 10:59:37.069,"2922",,
04/05/17 10:59:42.069,"2932",,
04/05/17 10:59:47.068,"2927",,
04/05/17 10:59:52.069,"2942",,
04/05/17 10:59:57.069,"2953",,
04/05/17 11:00:02.069,"2973",,
04/05/17 11:00:07.068,"2932",,
04/05/17 11:00:12.069,"2922",,
04/05/17 11:00:17.069,"2922",,
04/05/17 11:00:22.068,"2948",,
04/05/17 11:00:27.069,"2922",,
04/05/17 11:00:32.069,"2922",,
04/05/17 11:00:37.069,"2963",,
04/05/17 11:00:42.069,"2953",,
