Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
PeaInedibleWet,PeaInedibleWet,solid,0.02307,,,804,1860,,,
PeanutEdibleWet,PeanutEdibleWet,liquid,0.02307,,,804,1860,,,
PeanutInedibleWet,PeanutInedibleWet,liquid,0.02307,,,804,1860,,,
PeanutEdibleWet,PeanutEdibleWet,solid,0.02307,,,804,1860,,,
PeanutInedibleWet,PeanutInedibleWet,solid,0.02307,,,804,1860,,,
PepperEdibleWet,PepperEdibleWet,liquid,0.02307,,,804,1860,,,
PepperInedibleWet,PepperInedibleWet,liquid,0.02307,,,804,1860,,,
PepperEdibleWet,PepperEdibleWet,solid,0.02307,,,804,1860,,,
PepperInedibleWet,PepperInedibleWet,solid,0.02307,,,804,1860,,,
RadishEdibleWet,RadishEdibleWet,liquid,0.02307,,,804,1860,,,
RadishInedibleWet,RadishInedibleWet,liquid,0.02307,,,804,1860,,,
RadishEdibleWet,RadishEdibleWet,solid,0.02307,,,804,1860,,,
RadishInedibleWet,RadishInedibleWet,solid,0.02307,,,804,1860,,,
RedbeetsEdibleWet,RedbeetsEdibleWet,liquid,0.02307,,,804,1860,,,
RedbeetsInedibleWet,RedbeetsInedibleWet,liquid,0.02307,,,804,1860,,,
RedbeetsEdibleWet,RedbeetsEdibleWet,solid,0.02307,,,804,1860,,,
RedbeetsInedibleWet,RedbeetsInedibleWet,solid,0.02307,,,804,1860,,,
RiceEdibleWet,RiceEdibleWet,liquid,0.02307,,,804,1860,,,
RiceInedibleWet,RiceInedibleWet,liquid,0.02307,,,804,1860,,,
RiceEdibleWet,RiceEdibleWet,solid,0.02307,,,804,1860,,,
RiceInedibleWet,RiceInedibleWet,solid,0.02307,,,804,1860,,,
SnapbeanEdibleWet,SnapbeanEdibleWet,liquid,0.02307,,,804,1860,,,
SnapbeanInedibleWet,SnapbeanInedibleWet,liquid,0.02307,,,804,1860,,,
SnapbeanEdibleWet,SnapbeanEdibleWet,solid,0.02307,,,804,1860,,,
SnapbeanInedibleWet,SnapbeanInedibleWet,solid,0.02307,,,804,1860,,,
SoybeanEdibleWet,SoybeanEdibleWet,liquid,0.02307,,,804,1860,,,
SoybeanInedibleWet,SoybeanInedibleWet,liquid,0.02307,,,804,1860,,,
